Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
47	22:55:13	22:55:13	22:55:13	22:55:13	22:55:14	22:55:14			22:55:14	22:55:14	22:55:14	22:55:14	22:55:24	22:55:24	22:55:24	22:55:24	22:55:24	22:55:24			22:55:25	22:55:25		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
48	22:55:25	22:55:25	22:55:25	22:55:25	22:55:25	22:55:25			22:55:25	22:55:25	22:55:26	22:55:26	22:55:36	22:55:36	22:55:36	22:55:36	22:55:36	22:55:36			22:55:37	22:55:37		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
49	22:55:37	22:55:37	22:55:37	22:55:37	22:55:37	22:55:37			22:55:37	22:55:37	22:55:37	22:55:37	22:55:49	22:55:49	22:55:49	22:55:49	22:55:49	22:55:49			22:55:49	22:55:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
50	22:55:49	22:55:49	22:55:49	22:55:49	22:55:50	22:55:50			22:55:50	22:55:50	22:55:50	22:55:50	22:56:02	22:56:02	22:56:02	22:56:02	22:56:02	22:56:02	22:56:02	22:56:02	22:56:07	22:56:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00	00:00:00	00:00:04	00:00:17
51	22:56:07	22:56:07	22:56:07	22:56:07	22:56:07	22:56:07			22:56:07	22:56:07	22:56:07	22:56:07	22:56:18	22:56:18	22:56:18	22:56:18	22:56:18	22:56:18			22:56:18	22:56:18		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
52	22:56:18	22:56:18	22:56:18	22:56:18	22:56:19	22:56:19			22:56:19	22:56:19	22:56:19	22:56:19	22:56:30	22:56:30	22:56:30	22:56:30	22:56:30	22:56:30			22:56:30	22:56:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:12
53	22:56:30	22:56:30	22:56:31	22:56:31	22:56:31	22:56:31			22:56:31	22:56:31	22:56:31	22:56:31	22:56:42	22:56:42	22:56:42	22:56:42	22:56:42	22:56:42			22:56:43	22:56:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:12
54	22:56:43	22:56:43	22:56:43	22:56:43	22:56:43	22:56:43			22:56:43	22:56:43	22:56:43	22:56:43	22:56:53	22:56:53	22:56:53	22:56:53	22:56:53	22:56:53			22:56:54	22:56:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
55	22:56:54	22:56:54	22:56:54	22:56:54	22:56:54	22:56:54			22:56:54	22:56:54	22:56:55	22:56:55	22:57:05	22:57:05	22:57:05	22:57:05	22:57:05	22:57:05			22:57:06	22:57:06		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
56	22:57:06	22:57:06	22:57:06	22:57:06	22:57:06	22:57:06			22:57:06	22:57:06	22:57:06	22:57:06	22:57:16	22:57:16	22:57:16	22:57:16	22:57:16	22:57:16			22:57:17	22:57:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:11
57	22:57:17	22:57:17	22:57:17	22:57:17	22:57:17	22:57:17			22:57:17	22:57:17	22:57:18	22:57:18	22:57:30	22:57:30	22:57:30	22:57:30	22:57:30	22:57:30			22:57:31	22:57:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
58	22:57:31	22:57:31	22:57:31	22:57:31	22:57:31	22:57:31			22:57:31	22:57:31	22:57:31	22:57:31	22:57:42	22:57:42	22:57:42	22:57:42	22:57:42	22:57:42			22:57:43	22:57:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:12
59	22:57:43	22:57:43	22:57:43	22:57:43	22:57:43	22:57:43			22:57:43	22:57:43	22:57:44	22:57:44	22:57:55	22:57:55	22:57:55	22:57:55	22:57:55	22:57:55			22:57:55	22:57:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:00	00:00:12
60	22:57:55	22:57:55	22:57:55	22:57:55	22:57:56	22:57:56			22:57:56	22:57:56	22:57:56	22:57:56	22:58:06	22:58:06	22:58:06	22:58:06	22:58:06	22:58:06	22:58:06	22:58:06	22:58:07	22:58:07		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00	00:00:00	00:00:00	00:00:11
61	22:58:07	22:58:07	22:58:07	22:58:07	22:58:07	22:58:07			22:58:07	22:58:07	22:58:07	22:58:07	22:58:18	22:58:18	22:58:18	22:58:18	22:58:18	22:58:18			22:58:19	22:58:19		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:11
62	22:58:19	22:58:19	22:58:19	22:58:19	22:58:19	22:58:19			22:58:19	22:58:19	22:58:19	22:58:19	22:58:30	22:58:30	22:58:30	22:58:30	22:58:30	22:58:30			22:58:31	22:58:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:12
