Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
50	23:40:23	23:40:23	23:40:23	23:40:23	23:40:23	23:40:23			23:40:23	23:40:23	23:40:23	23:40:23	23:40:32	23:40:32	23:40:32	23:40:32	23:40:32	23:40:32	23:40:32	23:40:32	23:40:36	23:40:36		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00	00:00:00	00:00:04	00:00:13
51	23:40:36	23:40:36	23:40:37	23:40:37	23:40:37	23:40:37			23:40:37	23:40:37	23:40:37	23:40:37	23:40:44	23:40:44	23:40:44	23:40:44	23:40:44	23:40:44			23:40:45	23:40:45		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
52	23:40:45	23:40:45	23:40:45	23:40:45	23:40:45	23:40:45			23:40:45	23:40:45	23:40:46	23:40:46	23:40:53	23:40:53	23:40:53	23:40:53	23:40:53	23:40:53			23:40:54	23:40:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
53	23:40:54	23:40:54	23:40:54	23:40:54	23:40:54	23:40:54			23:40:54	23:40:54	23:40:54	23:40:54	23:41:02	23:41:02	23:41:02	23:41:02	23:41:02	23:41:02			23:41:03	23:41:03		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
54	23:41:03	23:41:03	23:41:03	23:41:03	23:41:03	23:41:03			23:41:03	23:41:03	23:41:03	23:41:03	23:41:12	23:41:12	23:41:12	23:41:12	23:41:12	23:41:12			23:41:13	23:41:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:08	00:00:00	00:00:00		00:00:00	00:00:09
55	23:41:13	23:41:13	23:41:13	23:41:13	23:41:13	23:41:13			23:41:13	23:41:13	23:41:13	23:41:13	23:41:21	23:41:21	23:41:21	23:41:21	23:41:21	23:41:21			23:41:22	23:41:22		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
56	23:41:22	23:41:22	23:41:22	23:41:22	23:41:22	23:41:22			23:41:22	23:41:22	23:41:23	23:41:23	23:41:30	23:41:30	23:41:30	23:41:30	23:41:30	23:41:30			23:41:31	23:41:31		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
57	23:41:31	23:41:31	23:41:31	23:41:31	23:41:31	23:41:31			23:41:31	23:41:31	23:41:31	23:41:31	23:41:39	23:41:39	23:41:39	23:41:39	23:41:39	23:41:39			23:41:40	23:41:40		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:09
58	23:41:40	23:41:40	23:41:40	23:41:40	23:41:40	23:41:40			23:41:40	23:41:40	23:41:40	23:41:40	23:41:47	23:41:47	23:41:47	23:41:47	23:41:47	23:41:47			23:41:48	23:41:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:06	00:00:00	00:00:00		00:00:00	00:00:08
59	23:41:48	23:41:48	23:41:48	23:41:48	23:41:48	23:41:48			23:41:48	23:41:48	23:41:49	23:41:49	23:41:56	23:41:56	23:41:56	23:41:56	23:41:56	23:41:56			23:41:57	23:41:57		00:00:00	00:00:00		00:00:00	00:00:00	00:00:07	00:00:00	00:00:00		00:00:00	00:00:08
